"cliente_id";"cliente_nombre";"genero_desc";"fecha_nacimiento";"edad"
1;"Cliente 8111";"Hombre";"1971-07-11";50
2;"Cliente 615";"Hombre";"1944-09-17";77
3;"Cliente 4462";"Mujer";"1953-04-08";68
4;"Cliente 7151";"Mujer";"1947-12-05";74
5;"Cliente 6235";"Hombre";"1949-02-28";72
6;"Cliente 8886";"Hombre";"1979-01-01";42
7;"Cliente 4064";"Hombre";"1961-01-03";60
8;"Cliente 1619";"Hombre";"1961-12-05";60
9;"Cliente 117";"Hombre";"1976-01-12";45
10;"Cliente 5185";"Hombre";"1977-02-24";44
11;"Cliente 9714";"Mujer";"1960-11-13";61
12;"Cliente 6921";"Hombre";"1959-10-15";62
13;"Cliente 3473";"Hombre";"1958-09-10";63
14;"Cliente 9121";"Mujer";"1978-03-07";43
15;"Cliente 7610";"Mujer";"1981-03-29";40
16;"Cliente 3668";"Mujer";"1942-07-31";79
17;"Cliente 8285";"Hombre";"1957-08-30";64
18;"Cliente 6612";"Mujer";"1972-01-01";49
19;"Cliente 7510";"Hombre";"1979-04-30";42
20;"Cliente 8956";"Hombre";"1973-02-07";48
21;"Cliente 7576";"Hombre";"1962-02-16";59
22;"Cliente 2229";"Mujer";"1974-03-04";47
23;"Cliente 770";"Hombre";"1975-04-24";46
24;"Cliente 3598";"Hombre";"1980-05-12";41
25;"Cliente 9278";"Hombre";"1981-06-18";40
26;"Cliente 3138";"Hombre";"1976-05-15";45
27;"Cliente 8498";"Hombre";"1977-06-13";44
28;"Cliente 5366";"Mujer";"1960-01-31";61
29;"Cliente 2896";"Hombre";"1963-03-04";58
30;"Cliente 6354";"Mujer";"1970-06-08";51
31;"Cliente 9918";"Mujer";"1983-06-12";38
32;"Cliente 5117";"Mujer";"1984-07-03";37
33;"Cliente 9436";"Mujer";"1990-10-03";31
34;"Cliente 7030";"Mujer";"1953-01-08";68
35;"Cliente 118";"Hombre";"1964-04-25";57
36;"Cliente 3403";"Hombre";"1948-08-12";73
37;"Cliente 1561";"Mujer";"1965-05-17";56
38;"Cliente 2056";"Mujer";"1972-10-01";49
39;"Cliente 9597";"Hombre";"1966-06-12";55
40;"Cliente 4931";"Hombre";"1982-07-08";39
41;"Cliente 7953";"Hombre";"1943-01-17";78
42;"Cliente 9346";"Mujer";"1978-06-23";43
43;"Cliente 8817";"Mujer";"1967-07-18";54
44;"Cliente 3751";"Hombre";"1950-10-02";71
45;"Cliente 3820";"Hombre";"1948-08-14";73
46;"Cliente 2824";"Hombre";"1968-08-23";53
47;"Cliente 6112";"Mujer";"1969-09-14";52
